id_paquete,id_monitoreo,arreglo_estados,complemento_estado,fecha_creado
b8e00498-42a5-4284-afd8-a0ad8a590079,BpEz8suXz7SiRbOkCtoT,"[DELIVERED,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,OUT_FOR_DELIVERY,ARRIVAL_SCAN,CREATED,CREATED]",[ORIGIN_SCAN],2021-12-10T23:10:26.946000
1f802d1b-2b7c-4b04-a81c-b714e4536d1c,4Y9WVEZTJNPCH4F505C8,"[DELIVERED,DELIVERED,DELIVERED,NEXT_IN_ROUTE,OUT_FOR_DELIVERY,ARRIVAL_SCAN,ARRIVAL_SCAN,CREATED]","[ORIGIN_SCAN,ORIGIN_SCAN]",2021-12-10T17:51:47.974000
035bf416-11c7-4b83-ac1f-63409784d6cb,KLBALN1KD8VIRVLAK16Q,"[DELIVERED,DELIVERED,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,OUT_FOR_DELIVERY,ARRIVAL_SCAN,CREATED]",[ORIGIN_SCAN],2021-12-09T19:52:37.276000
994ff07e-9ff6-468b-ad90-20f0686ab9d3,RCHLH6BLT5T8D9TYIBXO,"[DELIVERED,OUT_FOR_DELIVERY,ARRIVAL_SCAN,ARRIVAL_SCAN,CREATED,CREATED]","[ORIGIN_SCAN,ORIGIN_SCAN]",2021-12-10T11:24:36.857000
4f8a78b4-d158-4c81-a118-2f1fb522a655,QZQIWEOTBTBA5CCWEC1E,"[DELIVERED,DELIVERED,DELIVERED,DELIVERED,NEXT_IN_ROUTE,NEXT_IN_ROUTE,OUT_FOR_DELIVERY,OUT_FOR_DELIVERY,ARRIVAL_SCAN,CREATED]",[ORIGIN_SCAN],2021-12-09T17:23:59.892000
86d144d2-9acb-4021-b2e4-76800f3437c2,IRMYQCCRLYUF4XFDW2C8,"[DELIVERED,DELIVERED,DELIVERED,DELIVERED,NEXT_IN_ROUTE,NEXT_IN_ROUTE,OUT_FOR_DELIVERY,ARRIVAL_SCAN,ARRIVAL_SCAN,CREATED,CREATED]","[ORIGIN_SCAN,ORIGIN_SCAN]",2021-12-10T12:56:20.765000
8b672ca9-835f-4dc4-a2cf-98b64a96be58,rdVF3UU2VU3X71TK2Mp6,"[DELIVERED,DELIVERED,DELIVERED,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,ARRIVAL_SCAN,ARRIVAL_SCAN,CREATED,CREATED]","[ORIGIN_SCAN,ORIGIN_SCAN]",2021-12-10T17:34:23.146000
5196c7ba-d5e1-4d0e-ae22-b989d7be3536,5DMDKKTOPWN98LTK9MT2,"[DELIVERED,DELIVERED,NEXT_IN_ROUTE,NEXT_IN_ROUTE,OUT_FOR_DELIVERY,OUT_FOR_DELIVERY,ARRIVAL_SCAN,CREATED]",[ORIGIN_SCAN],2021-12-10T03:32:32.567000
c77cb2d9-87a6-4c56-8753-e69110f67cab,TXZTVJQFDGJCGMY8G1AZ,"[DELIVERED,OUT_FOR_DELIVERY,ARRIVAL_SCAN,CREATED]",[ORIGIN_SCAN],2021-12-11T11:58:47.619000
8dc2b760-aa8a-4d1a-a0f7-699450406c9e,LRIMCAB4S8D5TXI8VQY4,"[DELIVERED,DELIVERED,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,OUT_FOR_DELIVERY,OUT_FOR_DELIVERY,ARRIVAL_SCAN,ARRIVAL_SCAN,CREATED,CREATED]","[ORIGIN_SCAN,ORIGIN_SCAN]",2021-12-10T11:02:00.654000
eedc4677-6709-4f64-af00-cd8ae31b2bab,i7ZQ7FL3P4ZilO47it7w,"[DELIVERED,DELIVERED,NEXT_IN_ROUTE,NEXT_IN_ROUTE,OUT_FOR_DELIVERY,ARRIVAL_SCAN,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,OUT_FOR_DELIVERY,OUT_FOR_DELIVERY,ARRIVAL_SCAN,ARRIVAL_SCAN,CREATED]","[DELIVERY_ATTEMPTED,ORIGIN_SCAN,ORIGIN_SCAN]",2021-12-09T23:26:23.521000
dc2a1ea8-db20-470b-933f-5b5108bc4b4f,BZQL57S0KIYZLJEKX7E2,"[DELIVERED,DELIVERED,DELIVERED,NEXT_IN_ROUTE,NEXT_IN_ROUTE,OUT_FOR_DELIVERY,OUT_FOR_DELIVERY,ARRIVAL_SCAN,ARRIVAL_SCAN,CREATED,CREATED]","[ORIGIN_SCAN,ORIGIN_SCAN]",2021-12-10T12:04:13.491000
dc31e354-dc6e-4f58-87a5-154543b788e4,VHPFKVM05RC4BA3DAAN8,"[DELIVERED,OUT_FOR_DELIVERY,ARRIVAL_SCAN,CREATED]",[ORIGIN_SCAN],2021-12-11T17:18:46.281000
e6503275-ae55-4dcf-9e4c-ca5d93404fee,CDTI4OQDOUK79NBE3YO4,"[DELIVERED,DELIVERED,DELIVERED,OUT_FOR_DELIVERY,ARRIVAL_SCAN,CREATED]",[ORIGIN_SCAN],2021-12-11T10:53:52.671000
fd3da1e7-0786-4cdf-aeaa-539fbbb8d98b,B1XMNSOFJJFRX7XU85R8,"[DELIVERED,DELIVERED,DELIVERED,DELIVERED,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,ARRIVAL_SCAN,CREATED]",[ORIGIN_SCAN],2021-12-09T12:03:00.458000
b2760703-56f3-4028-b218-1976a69f265c,VGD3XPATNVXLWCP4O3D9,"[DELIVERED,DELIVERED,DELIVERED,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,OUT_FOR_DELIVERY,OUT_FOR_DELIVERY,ARRIVAL_SCAN,ARRIVAL_SCAN,CREATED,CREATED]","[ORIGIN_SCAN,ORIGIN_SCAN]",2021-12-10T11:24:03.653000
4ffa8ddd-cdc1-48bc-a51d-b8013f09e9af,MDQTII7OERK711MYXHDI,"[DELIVERED,DELIVERED,DELIVERED,DELIVERED,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,OUT_FOR_DELIVERY,OUT_FOR_DELIVERY,ARRIVAL_SCAN,ARRIVAL_SCAN,CREATED]","[ORIGIN_SCAN,ORIGIN_SCAN]",2021-12-10T08:38:25.181000
711630c7-bffb-480e-aab0-6d897b84f425,HKI9Y2GS1N330FQDLHIO,"[DELIVERED,OUT_FOR_DELIVERY,ARRIVAL_SCAN,CREATED]",[ORIGIN_SCAN],2021-12-08T12:03:23.233000
c6323a0d-e888-4eee-9cee-9c75c20b9f87,ZRWBDYUNZZS7YNX9NDOB,"[DELIVERED,DELIVERED,DELIVERED,DELIVERED,DELIVERED,DELIVERED,NEXT_IN_ROUTE,NEXT_IN_ROUTE,OUT_FOR_DELIVERY,ARRIVAL_SCAN,CREATED]",[ORIGIN_SCAN],2021-12-09T20:26:00.586000
f65de1f5-897e-4bd8-9c62-fea953c31db1,ICU6G4GXYOVBIMIYGHSP,"[DELIVERED,NEXT_IN_ROUTE,DELIVERED,NEXT_IN_ROUTE,OUT_FOR_DELIVERY,ARRIVAL_SCAN,CREATED,CREATED]",[ORIGIN_SCAN],2021-12-10T17:23:47.859000
08406f79-c4ed-4c87-ba9f-f02352547a1e,E3XA7ZBXFH2Q1X3SOX7I,"[DELIVERED,DELIVERED,DELIVERED,DELIVERED,NEXT_IN_ROUTE,NEXT_IN_ROUTE,OUT_FOR_DELIVERY,ARRIVAL_SCAN,ARRIVAL_SCAN,CREATED,CREATED]","[ORIGIN_SCAN,ORIGIN_SCAN]",2021-12-10T11:24:47.755000
58e91c61-1a2a-4dd0-b8d1-72b32820316d,8XQZY8DDWBOE0KWJ1X9I,"[DELIVERED,OUT_FOR_DELIVERY,OUT_FOR_DELIVERY,ARRIVAL_SCAN,ARRIVAL_SCAN,CREATED]","[ORIGIN_SCAN,ORIGIN_SCAN]",2021-12-09T17:59:44.644000
43ac214c-2141-4565-b3d8-bda92c95b92d,RFGSLD15RGNWTZQROK1C,"[DELIVERED,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,OUT_FOR_DELIVERY,OUT_FOR_DELIVERY,ARRIVAL_SCAN,ARRIVAL_SCAN,CREATED,CREATED]","[ORIGIN_SCAN,ORIGIN_SCAN]",2021-12-10T12:41:03.088000
2e0efc3e-63fe-434e-93f9-36254017283a,3FAUW3UNJXMRFYJ5G6ZI,"[DELIVERED,DELIVERED,DELIVERED,DELIVERED,DELIVERED,DELIVERED,NEXT_IN_ROUTE,NEXT_IN_ROUTE,OUT_FOR_DELIVERY,OUT_FOR_DELIVERY,ARRIVAL_SCAN,CREATED]",[ORIGIN_SCAN],2021-12-09T10:29:58.329000
471b3930-afc2-4171-a16d-a078d79ff38b,9RM9KJNZC8GVOEXEEBI9,"[DELIVERED,DELIVERED,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,OUT_FOR_DELIVERY,ARRIVAL_SCAN,ARRIVAL_SCAN,CREATED,CREATED]","[ORIGIN_SCAN,ORIGIN_SCAN]",2021-12-10T10:56:35.374000
d9b96823-44d5-457a-9dea-9d32eb01bd44,V7FJ6ISIOMAHZECKIFFY,"[DELIVERED,DELIVERED,DELIVERED,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,OUT_FOR_DELIVERY,OUT_FOR_DELIVERY,ARRIVAL_SCAN,ARRIVAL_SCAN,CREATED,CREATED]","[ORIGIN_SCAN,ORIGIN_SCAN]",2021-12-10T12:55:24.726000
8d5bef50-ccdd-468c-a7d8-0edbb88ecf99,Q481HBZV4BGUF5OLEEED,"[DELIVERED,DELIVERED,DELIVERED,NEXT_IN_ROUTE,NEXT_IN_ROUTE,OUT_FOR_DELIVERY,OUT_FOR_DELIVERY,ARRIVAL_SCAN,ARRIVAL_SCAN,CREATED,CREATED]","[ORIGIN_SCAN,ORIGIN_SCAN]",2021-12-10T10:58:26.666000
c17331ca-5825-4f01-970b-5e5f8f293dd6,VLJVGYM4LBBCRMUFGDBG,"[DELIVERED,DELIVERED,DELIVERED,DELIVERED,DELIVERED,DELIVERED,NEXT_IN_ROUTE,NEXT_IN_ROUTE,OUT_FOR_DELIVERY,OUT_FOR_DELIVERY,ARRIVAL_SCAN,CREATED]",[ORIGIN_SCAN],2021-12-09T20:35:44.473000
d131db30-7461-4b64-a6f5-bc75a35fe501,OwAe55a9JioKpHhUYsuh,"[DELIVERED,NEXT_IN_ROUTE,NEXT_IN_ROUTE,ARRIVAL_SCAN,ARRIVAL_SCAN,CREATED,CREATED]","[ORIGIN_SCAN,ORIGIN_SCAN]",2021-12-10T09:13:24.771000
d89ba7c2-6473-48bd-96be-22b1bd4d94e2,JQVPDHVFKZAIMQFLFLWM,"[DELIVERED,DELIVERED,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,OUT_FOR_DELIVERY,OUT_FOR_DELIVERY,ARRIVAL_SCAN,CREATED]",[ORIGIN_SCAN],2021-12-09T14:34:13.486000
adfa7688-6d09-4892-9033-8fb45a558875,cvbv5NbkFxWk8hP0n1at,"[DELIVERED,DELIVERED,DELIVERED,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,OUT_FOR_DELIVERY,ARRIVAL_SCAN,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,OUT_FOR_DELIVERY,OUT_FOR_DELIVERY,ARRIVAL_SCAN,ARRIVAL_SCAN,CREATED]","[DELIVERY_ATTEMPTED,ORIGIN_SCAN,ORIGIN_SCAN]",2021-12-09T22:18:35.130000
50f8deff-e416-42b3-ab12-3bfeec76e83c,NKJ3U2FEITYQDX7EGAIM,"[DELIVERED,DELIVERED,DELIVERED,DELIVERED,DELIVERED,DELIVERED,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,OUT_FOR_DELIVERY,ARRIVAL_SCAN,CREATED]",[ORIGIN_SCAN],2021-12-09T18:36:25.458000
d18a1cb0-cea1-4ec3-a382-6dfa4f06f73d,UV6U4RIU5BSBMDXFUB7I,"[DELIVERED,DELIVERED,DELIVERED,DELIVERED,NEXT_IN_ROUTE,NEXT_IN_ROUTE,OUT_FOR_DELIVERY,ARRIVAL_SCAN,CREATED]",[ORIGIN_SCAN],2021-12-09T17:53:55.808000
392c0d70-1ac3-4cc5-a8fd-af077ea06fab,WBRNKVKKP44BDU3ER2K7,"[DELIVERED,DELIVERED,DELIVERED,DELIVERED,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,OUT_FOR_DELIVERY,ARRIVAL_SCAN,CREATED]",[ORIGIN_SCAN],2021-12-09T19:51:12.664000
67696e9c-c405-4b4b-86e5-d5baf34e2e1a,TCTWHTFJBQANKIILJN0W,"[DELIVERED,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,OUT_FOR_DELIVERY,ARRIVAL_SCAN,ARRIVAL_SCAN,CREATED,CREATED]","[ORIGIN_SCAN,ORIGIN_SCAN]",2021-12-10T18:50:15.229000
9b3cc6a4-3fd6-41f1-872f-d5e243fd4c03,7iKFoX4xso9gA9oWmiM8,"[DELIVERED,DELIVERED,NEXT_IN_ROUTE,OUT_FOR_DELIVERY,OUT_FOR_DELIVERY,ARRIVAL_SCAN,ARRIVAL_SCAN,CREATED]","[ORIGIN_SCAN,ORIGIN_SCAN]",2021-12-09T12:28:23.506000
f8dc4c49-3085-4dde-b022-5333ca7da34f,KDM7VXC7PP7Q3A2ODEFT,"[DELIVERED,DELIVERED,DELIVERED,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,OUT_FOR_DELIVERY,OUT_FOR_DELIVERY,ARRIVAL_SCAN,ARRIVAL_SCAN,CREATED,CREATED]","[ORIGIN_SCAN,ORIGIN_SCAN]",2021-12-10T09:26:40.198000
47d39f90-ce9f-4a9a-aacc-78fa72758494,ZFW9WGZMTDLPZQOQBGIZ,"[DELIVERED,DELIVERED,DELIVERED,DELIVERED,DELIVERED,DELIVERED,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,OUT_FOR_DELIVERY,ARRIVAL_SCAN,ARRIVAL_SCAN,CREATED,CREATED]","[ORIGIN_SCAN,ORIGIN_SCAN]",2021-12-10T09:09:45.774000
48b603e7-f13b-4812-9030-2e0ec978f248,O4W0AGXYDVACVQDLG8SP,"[DELIVERED,DELIVERED,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,OUT_FOR_DELIVERY,ARRIVAL_SCAN,CREATED]",[ORIGIN_SCAN],2021-12-09T17:50:45.627000
5b06b227-3544-4e7c-9be1-493c6d5722ed,PGEQJKHERCRIC6TVGXCY,"[ARRIVAL_SCAN,DELIVERED,DELIVERED,DELIVERED,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,OUT_FOR_DELIVERY,ARRIVAL_SCAN,CREATED,CREATED]","[RETURNED_TO_CLIENT,ORIGIN_SCAN]",2021-12-10T14:06:50.736000
ba96adaf-3d83-47a8-8234-3363282c5a84,E1FA7NIEVAQ0UBJHC2AA,"[DELIVERED,DELIVERED,DELIVERED,DELIVERED,DELIVERED,DELIVERED,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,OUT_FOR_DELIVERY,ARRIVAL_SCAN,CREATED]",[ORIGIN_SCAN],2021-12-09T15:29:40.979000
679f9a27-24e1-49f7-a1a0-046cd79ffb9d,JY44PEKXQ6NI0P6YYLR0,"[DELIVERED,DELIVERED,DELIVERED,DELIVERED,NEXT_IN_ROUTE,NEXT_IN_ROUTE,OUT_FOR_DELIVERY,OUT_FOR_DELIVERY,ARRIVAL_SCAN,ARRIVAL_SCAN,CREATED]","[ORIGIN_SCAN,ORIGIN_SCAN]",2021-12-10T08:52:38.227000
e44a7458-bfd5-4dc3-9b0d-43e5c5cf5718,ZPOQJ92GK6B3EW7LR4ZM,"[DELIVERED,DELIVERED,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,OUT_FOR_DELIVERY,OUT_FOR_DELIVERY,ARRIVAL_SCAN,ARRIVAL_SCAN,CREATED,CREATED]","[ORIGIN_SCAN,ORIGIN_SCAN]",2021-12-10T11:06:26.520000
25d5e33a-56cd-44ae-8ce4-96c0d1ccaa50,IP9WDDVORBB3NUOHTAFA,"[DELIVERED,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,OUT_FOR_DELIVERY,ARRIVAL_SCAN,ARRIVAL_SCAN,CREATED,CREATED]","[ORIGIN_SCAN,ORIGIN_SCAN]",2021-12-10T09:45:01.730000
da33610d-a58c-4271-8485-cb34659bd92b,SX4H4kDoTWBJdeXbJPWp,"[DELIVERED,DELIVERED,DELIVERED,NEXT_IN_ROUTE,NEXT_IN_ROUTE,OUT_FOR_DELIVERY,ARRIVAL_SCAN,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,OUT_FOR_DELIVERY,OUT_FOR_DELIVERY,ARRIVAL_SCAN,ARRIVAL_SCAN,CREATED]","[DELIVERY_ATTEMPTED,ORIGIN_SCAN,ORIGIN_SCAN]",2021-12-09T22:12:09.452000
f72e43e9-0c0f-4223-8759-d487481d9e71,WFGEVS5MMWYRITZRFDOJ,"[DELIVERED,DELIVERED,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,OUT_FOR_DELIVERY,OUT_FOR_DELIVERY,ARRIVAL_SCAN,CREATED]",[ORIGIN_SCAN],2021-12-09T21:50:52.401000
eafe3fa8-75b7-4a56-8b02-5ebcfcaf7d1c,EGAVBY0UAAW6F9AIPPHK,"[DELIVERED,NEXT_IN_ROUTE,NEXT_IN_ROUTE,DELIVERED,DELIVERED,NEXT_IN_ROUTE,OUT_FOR_DELIVERY,ARRIVAL_SCAN,CREATED,CREATED]",[ORIGIN_SCAN],2021-12-10T16:29:00.436000
a8d243d7-5224-43bc-b280-c4bebc2a64f9,D1PXWM8LC26E5OM4HSO5,"[DELIVERED,DELIVERED,NEXT_IN_ROUTE,OUT_FOR_DELIVERY,ARRIVAL_SCAN,ARRIVAL_SCAN,CREATED]","[ORIGIN_SCAN,ORIGIN_SCAN]",2021-12-09T20:39:15.958000
7883e698-8053-45bc-94be-0b090835df01,PS9MZS6C0FOCEK0P2CCI,"[DELIVERED,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,OUT_FOR_DELIVERY,ARRIVAL_SCAN,ARRIVAL_SCAN,CREATED,CREATED]","[ORIGIN_SCAN,ORIGIN_SCAN]",2021-12-10T13:15:31.671000
cc5ba219-28d7-4f59-8c99-b9e7749e2474,FEWMYNEUULUNY9PCX2ZV,"[DELIVERED,DELIVERED,NEXT_IN_ROUTE,NEXT_IN_ROUTE,OUT_FOR_DELIVERY,OUT_FOR_DELIVERY,ARRIVAL_SCAN,CREATED]",[ORIGIN_SCAN],2021-12-09T18:31:43.474000
0317d482-7c8b-4704-979a-b7812f702f8b,NAMBTAHFQGG9WF1OGZBD,"[DELIVERED,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,OUT_FOR_DELIVERY,OUT_FOR_DELIVERY,ARRIVAL_SCAN,ARRIVAL_SCAN,CREATED,CREATED]","[ORIGIN_SCAN,ORIGIN_SCAN]",2021-12-10T10:30:58.012000
4b26925b-bd22-49ff-a1ca-e587773779a5,XUX339FDCFDHKDDQ9XVT,"[DELIVERED,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,OUT_FOR_DELIVERY,OUT_FOR_DELIVERY,ARRIVAL_SCAN,ARRIVAL_SCAN,CREATED,CREATED]","[ORIGIN_SCAN,ORIGIN_SCAN]",2021-12-10T10:29:04.167000
963c54dc-4022-413b-852b-9ccaf0ed19ac,39VBDPSDMXN1XIRMUBZN,"[ARRIVAL_SCAN,DELIVERED,DELIVERED,NEXT_IN_ROUTE,OUT_FOR_DELIVERY,ARRIVAL_SCAN,ARRIVAL_SCAN,CREATED,CREATED]","[RETURNED_TO_CLIENT,ORIGIN_SCAN,ORIGIN_SCAN]",2021-12-10T17:54:20.266000
7039d077-3ab7-448c-80ce-992e2f5e0023,OGRVN9GW8MLQR6PAI1KZ,"[DELIVERED,DELIVERED,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,OUT_FOR_DELIVERY,OUT_FOR_DELIVERY,ARRIVAL_SCAN,ARRIVAL_SCAN,CREATED]","[ORIGIN_SCAN,ORIGIN_SCAN]",2021-12-10T08:32:29.479000
4cd7b633-957d-4a8e-91b1-f77614194805,WG8GRVFRHF4R894ON5WS,"[DELIVERED,DELIVERED,DELIVERED,DELIVERED,DELIVERED,DELIVERED,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,OUT_FOR_DELIVERY,ARRIVAL_SCAN,ARRIVAL_SCAN,CREATED,CREATED]","[ORIGIN_SCAN,ORIGIN_SCAN]",2021-12-10T13:57:54.372000
8b9a5cc8-35e5-493b-9100-78517a1521e5,9CIYQEFUY7J5XAAKTAJH,"[DELIVERED,DELIVERED,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,OUT_FOR_DELIVERY,OUT_FOR_DELIVERY,ARRIVAL_SCAN,CREATED]",[ORIGIN_SCAN],2021-12-09T15:24:42.429000
6e1b4c9c-5b16-4003-b595-031f2c9abc9a,T6UFTUFO8QGJSBLGPHC7,"[DELIVERED,DELIVERED,DELIVERED,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,OUT_FOR_DELIVERY,OUT_FOR_DELIVERY,ARRIVAL_SCAN,ARRIVAL_SCAN,CREATED,CREATED]","[ORIGIN_SCAN,ORIGIN_SCAN]",2021-12-10T12:24:44.259000
175468b7-4286-447a-8c17-1b017a43ea74,FXFCUM8GHKS32JMBZQO6,"[DELIVERED,DELIVERED,DELIVERED,DELIVERED,DELIVERED,DELIVERED,NEXT_IN_ROUTE,NEXT_IN_ROUTE,OUT_FOR_DELIVERY,OUT_FOR_DELIVERY,ARRIVAL_SCAN,CREATED]",[ORIGIN_SCAN],2021-12-09T17:51:39.060000
